alpha,mu,x_thresh,sigma_thresh,beta,mean_tau,sigma_tau,birth_noise
1.0,0.75,10.0,50.0,0.5354421626271689,0.6987325616519487,0.6262758248854582,2.336553623945634
1.0,0.75,50.0,1.0,0.5811035992460873,0.6947680879334037,0.12301060546006942,0.11726381576642264
1.0,0.75,50.0,5.0,0.7682529664455181,0.6948268004491119,0.17040876293090487,0.15043729747551995
1.0,0.75,50.0,10.0,0.9079327447632015,0.694741264920245,0.2263297181817685,0.22546883837948395
1.0,0.75,50.0,50.0,0.6803034309143411,0.6947132641299942,0.3919186460980253,0.5623048626960901
1.0,0.75,100.0,1.0,0.6239621236425188,0.6943816477307645,0.0881590354962619,0.08467225059222612
1.0,0.75,100.0,5.0,0.7253095789142371,0.6943918259232467,0.10803713107081121,0.09727768964189207
1.0,0.75,100.0,10.0,0.8291142879579297,0.6943384146545434,0.14495683720736097,0.13118179092583704
1.0,0.75,100.0,50.0,0.8214746754528365,0.6943783410584188,0.31251697418385976,0.4092698588608583
1.0,0.75,500.0,1.0,0.7559575840380955,0.6946193015363009,0.061474529101245436,0.04353592841491751
1.0,0.75,500.0,5.0,0.7883713281947397,0.6946984586946395,0.05134365564622842,0.04496903014429242
1.0,0.75,500.0,10.0,0.7986160385610084,0.6946965149938968,0.06326215076184658,0.048119420388459636
1.0,0.75,500.0,50.0,0.9040172904274302,0.6945890504423223,0.10962873188484609,0.10901112518615713
1.0,0.75,1000.0,1.0,0.7682742313991786,0.694900910006299,0.04392677826088334,0.036319355404021036
1.0,0.75,1000.0,5.0,0.7798074251673889,0.6949035622940304,0.04290000547008688,0.036306757413729025
1.0,0.75,1000.0,10.0,0.7703572824587618,0.6949043556149267,0.041171520333519805,0.03775136871338421
1.0,0.75,1000.0,50.0,0.8578875483570749,0.6949000606581406,0.07460599775725324,0.06096860791256217
1.0,1.0,10.0,1.0,0.4860715495795393,0.6993920228192907,0.4222344892556584,0.3048775944972491
1.0,1.0,10.0,5.0,0.683449078585932,0.699317713501582,0.4556021327437814,0.44327432450011595
1.0,1.0,10.0,10.0,0.677247485385131,0.6987842187110002,0.5105492283965863,0.5455242787649072
1.0,1.0,10.0,50.0,0.5057210237970617,0.6965253460801423,0.5383278508481859,0.8073681007528987
1.0,1.0,50.0,1.0,0.5535631665639548,0.6946186765249679,0.13402902325050645,0.11710755743528253
1.0,1.0,50.0,5.0,0.7298811818226211,0.6945447673355385,0.15447325879630514,0.15250698528668746
1.0,1.0,50.0,10.0,0.87322466552677,0.6945093244109076,0.20090211705299577,0.22534722115328626
1.0,1.0,50.0,50.0,0.6998305885908593,0.6949365660953941,0.39079262809125703,0.5694202733957202
1.0,1.0,100.0,1.0,0.597130538666044,0.6942322925232429,0.0907256212546307,0.08436264797601867
1.0,1.0,100.0,5.0,0.675748819687905,0.6942825720312648,0.10623332487840939,0.09798720382788738
1.0,1.0,100.0,10.0,0.8295953475902926,0.6943050165527231,0.13063786013387377,0.1317277225511055
1.0,1.0,100.0,50.0,0.832379025780291,0.6942478153333552,0.2979474692080236,0.407118557779514
1.0,1.0,500.0,1.0,0.7780105663617183,0.6945493838053938,0.0651188712892472,0.043334786018127576
1.0,1.0,500.0,5.0,0.7477232897563096,0.6944833042470869,0.05252333238564208,0.04427618286659367
1.0,1.0,500.0,10.0,0.7467580263302268,0.694489982555304,0.05125371636380394,0.047473468910584196
1.0,1.0,500.0,50.0,0.9317579187713108,0.6945293787292359,0.1273607404752607,0.10925294637993983
1.0,1.0,1000.0,1.0,0.8110771349684599,0.6948260167543111,0.07148892851098317,0.03567768554901975
1.0,1.0,1000.0,5.0,0.8090051350077545,0.6948156815821437,0.047609730464981986,0.03618693074780126
1.0,1.0,1000.0,10.0,0.7657564367040215,0.694761958145894,0.042984298101313774,0.036950954312312816
1.0,1.0,1000.0,50.0,0.8307263694022549,0.6947437876817476,0.06763381367113615,0.06200249995571588
1.0,2.5,10.0,1.0,0.40875203507353575,0.6988842498277811,0.3864899071991831,0.42253289317797077
1.0,2.5,10.0,5.0,0.6717733436421663,0.6989281504427005,0.45734909983821775,0.47183858542065255
1.0,2.5,10.0,10.0,0.6377779591963093,0.6985008064348075,0.6133850150621377,0.6021594547014715
1.0,2.5,10.0,50.0,0.5104659205768471,0.6967357840483603,0.6218179996791726,0.8021991784361021
1.0,2.5,50.0,1.0,0.4524293141217367,0.6941342765751372,0.11887326185388226,0.12164869199563311
1.0,2.5,50.0,5.0,0.690546017317926,0.6941931735866266,0.1648205649228785,0.15663853374058553
1.0,2.5,50.0,10.0,0.8538947098776195,0.6941473717077917,0.21913785223508075,0.22680545468436092
1.0,2.5,50.0,50.0,0.6843600029997683,0.6938529442610529,0.34363824587063685,0.5648603286236384
1.0,2.5,100.0,1.0,0.5107458713226638,0.6937657363743768,0.09118228132351006,0.08257375575469504
1.0,2.5,100.0,5.0,0.6418022459165442,0.6938108836082671,,0.09546820582138073
1.0,2.5,100.0,10.0,0.7871927429850591,0.6938112986472164,0.13960053079455903,0.13090592955252972
1.0,2.5,100.0,50.0,0.8416445287168667,0.6935070478076311,0.2804951767878366,0.4046999214983198
1.0,2.5,500.0,1.0,0.6542509285444884,0.694015115716402,0.04094893085836412,0.04156092878693522
1.0,2.5,500.0,5.0,0.7171762587811242,0.6941071363414654,0.04988778527979138,0.042864841485003184
1.0,2.5,500.0,10.0,0.7457384110002875,0.694106170384637,0.05003006610601664,0.045923816241878676
1.0,2.5,500.0,50.0,0.9275506710880493,0.6940094499068449,0.10804351070633575,0.10769166655384708
1.0,2.5,1000.0,1.0,0.6732142913866399,0.6942950948157961,0.037567867953686586,0.03502864811903161
1.0,2.5,1000.0,5.0,0.6883866029536709,0.694295292444108,0.031156406750660892,0.03497503168581689
1.0,2.5,1000.0,10.0,0.6933811024613172,0.6943052167328936,0.034691722948463316,0.03618880071549341
1.0,2.5,1000.0,50.0,0.8150446809351585,0.6943048833847244,0.06498713972238705,0.060846216594351445
