alpha,mu,x_thresh,sigma_thresh,beta,mean_tau,sigma_tau,birth_noise
1.0,0.1,10.0,1.0,0.08265078558001127,0.6974723651363625,0.49795225898429546,109.82011699947041
1.0,0.1,10.0,5.0,0.07526309996303306,0.6973683061293987,,105.39419639064275
1.0,0.1,10.0,10.0,0.08041863893964495,0.6974463550873937,,102.51977692947061
1.0,0.1,10.0,50.0,0.0864881988921625,0.6974295226554037,,125.69585756315502
1.0,0.1,50.0,1.0,0.04447479199682089,0.7212490633262201,0.40377043475605695,57.355615825006865
1.0,0.1,50.0,5.0,0.1468155263984643,0.7213063219291067,0.5144773263531481,57.317567456981415
1.0,0.1,50.0,10.0,0.05680760552093443,0.721043402224133,,57.36142722535614
1.0,0.1,50.0,50.0,0.08948844712643785,0.7212431228136836,5.146641411393897,57.309065252713545
1.0,0.1,100.0,1.0,0.08959617447467069,0.7559674696957644,0.43744723287738607,28.350799484923925
1.0,0.1,100.0,5.0,0.12517134181777237,0.7556721052634401,0.6249715573595349,40.583728808678536
1.0,0.1,100.0,10.0,0.07948504680141923,0.7560931020107364,1.0668853863836207,36.521810229293955
1.0,0.1,100.0,50.0,0.26742846530168246,0.7558609516434424,2.7012493557794306,29.61908257790078
1.0,0.1,500.0,1.0,0.3481968267094164,1.1098129775476686,0.7067778043710737,17.97720430285069
1.0,0.1,500.0,5.0,0.1919404658836766,1.1511249544836946,1.1349908434475247,17.97199812489107
1.0,0.1,500.0,10.0,0.39671916086875825,1.1055048514515669,0.7987748876240859,17.971932361799553
1.0,0.1,500.0,50.0,0.11609492761937576,1.1773181261196777,2.7422271662337607,18.009291334843308
1.0,0.1,1000.0,1.0,0.24031710267672793,1.832158160470643,1.0019261819353238,12.601004246490215
1.0,0.1,1000.0,5.0,0.26926233155666407,1.807607897775223,1.1000130773759964,12.565956707007045
1.0,0.1,1000.0,10.0,0.23163496654381363,1.8574919149164633,1.1812514793450672,12.594534894058173
1.0,0.1,1000.0,50.0,0.49997936944844074,1.7042685150719985,1.9935821602757946,11.805730163592099
1.0,0.25,10.0,1.0,0.4183496308262709,0.6964324204756166,0.4737789070201286,57.945689151733525
1.0,0.25,10.0,5.0,0.44586792140921516,0.6963793341374866,,121.14227943297797
1.0,0.25,10.0,10.0,0.30596243307896764,0.6964492360580398,,124.01346732550019
1.0,0.25,10.0,50.0,0.48488905379043695,0.696521872210423,0.8015134575608037,111.97220581247399
1.0,0.25,50.0,1.0,0.19317770757603647,0.7165212951595336,0.23934064297949365,57.35776563800183
1.0,0.25,50.0,5.0,0.7299449290575962,0.7166172378509434,0.3600689525598476,15.763063346012471
1.0,0.25,50.0,10.0,0.870905083383345,0.7166726811929707,0.7278605649786773,1.1500497554723068
1.0,0.25,50.0,50.0,0.23787877756822254,0.7166112171350048,,57.27524410582085
1.0,0.25,100.0,1.0,0.48506347436279373,0.7464050152787812,0.2850901706399199,40.407244652381884
1.0,0.25,100.0,5.0,0.6008724271807624,0.7469943887154512,0.2962932946173378,39.71403412144493
1.0,0.25,100.0,10.0,0.3077881795409978,0.7465421316665047,0.6019814671526852,28.329105931863406
1.0,0.25,100.0,50.0,0.7714894163886824,0.7470347123309506,,16.89323331034831
1.0,0.25,500.0,1.0,0.6419862311377158,1.0485605444478912,0.4613615669959123,17.999737224061402
1.0,0.25,500.0,5.0,0.5650351264739161,1.0493685264152421,0.4738513936426578,15.526499549084608
1.0,0.25,500.0,10.0,0.7994789836236601,1.044658498435194,0.5492909822954455,17.584871685483083
1.0,0.25,500.0,50.0,0.8305571655818214,1.0473378008709016,1.1792901034286325,11.593626600133897
1.0,0.25,1000.0,1.0,0.936353249721875,1.4897194845489246,0.5068151099079112,1.4386154688830375
1.0,0.25,1000.0,5.0,0.8431573859867708,1.5021008463014596,0.6134071545954111,11.926573854335064
